"stco","ppt","year"
1001,963.411838038896,2018
1003,843.106968387612,2018
1005,843.305057755841,2018
1007,884.273157126952,2018
1009,768.641531562,2018
1011,742.294188801565,2018
1013,953.721942769024,2018
1015,801.002467302302,2018
1017,765.686198432134,2018
1019,809.058169526605,2018
1021,962.872953340836,2018
1023,894.26974306401,2018
1025,921.183727563546,2018
1027,852.88894358972,2018
1029,810.992768804949,2018
1031,801.025949188031,2018
1033,814.002488476411,2018
1035,1023.2172516055,2018
1037,788.075666726931,2018
1039,928.984800456782,2018
1041,903.158770772201,2018
1043,769.891776264397,2018
1045,796.167451514409,2018
1047,933.014933326086,2018
1049,775.828489520468,2018
1051,781.377281650902,2018
1053,915.683515808932,2018
1055,746.285477578735,2018
1057,908.188906064711,2018
1059,811.768741644981,2018
1061,832.958777048477,2018
1063,859.244290303456,2018
1065,845.277834291025,2018
1067,856.330299000605,2018
1069,854.988745678339,2018
1071,786.262495044041,2018
1073,804.194479940277,2018
1075,729.108300633727,2018
1077,813.614491216865,2018
1079,836.988393675737,2018
1081,881.875291788555,2018
1083,776.124652095631,2018
1085,756.263856674832,2018
1087,763.513368691923,2018
1089,737.980469636526,2018
1091,897.5533070808,2018
1093,848.818446280694,2018
1095,725.349110262126,2018
1097,948.478907508915,2018
1099,883.103202932542,2018
1101,746.88663829519,2018
1103,821.203051264698,2018
1105,864.642122515371,2018
1107,794.865417963675,2018
1109,769.505226260021,2018
1111,825.857032392393,2018
1113,851.614496488986,2018
1115,767.16809429832,2018
1117,807.768702121868,2018
1119,828.721431681794,2018
1121,751.173924769977,2018
1123,739.638948592348,2018
1125,815.939512577548,2018
1127,900.954151043942,2018
1129,942.498826462021,2018
1131,922.086264042673,2018
1133,833.648167490911,2018
4001,110.754442218987,2018
4003,136.638816506965,2018
4005,111.882175954709,2018
4007,149.110773432903,2018
4009,91.3259977514711,2018
4011,88.2862768002802,2018
4012,29.7379439769027,2018
4013,55.0104776136278,2018
4015,43.8401891470664,2018
4017,141.430055125186,2018
4019,109.939840197981,2018
4021,80.545745359064,2018
4023,210.74395337867,2018
4025,168.646824029647,2018
4027,26.499810323317,2018
5001,747.738730169787,2018
5003,817.16569225311,2018
5005,634.422017318395,2018
5007,642.758838609299,2018
5009,624.816765099788,2018
5011,799.676721824912,2018
5013,832.270439930881,2018
5015,606.411291503856,2018
5017,841.091308800732,2018
5019,755.803631545247,2018
5021,629.681871630708,2018
5023,657.820548366463,2018
5025,821.807164711131,2018
5027,491.638547465223,2018
5029,706.721515048334,2018
5031,709.503427731983,2018
5033,709.601300521156,2018
5035,646.158877954366,2018
5037,657.25779258859,2018
5039,778.830302099699,2018
5041,756.588978304696,2018
5043,738.326963550435,2018
5045,649.980953935274,2018
5047,751.420767829938,2018
5049,570.294854489059,2018
5051,749.111875720049,2018
5053,806.22706218959,2018
5055,708.197822569888,2018
5057,646.901386619554,2018
5059,807.042789445102,2018
5061,770.677153599743,2018
5063,612.069374916562,2018
5065,614.961525058554,2018
5067,627.704984319222,2018
5069,772.850193628963,2018
5071,757.604363753243,2018
5073,471.957164595131,2018
5075,639.67632546897,2018
5077,680.767186812944,2018
5079,804.96346623389,2018
5081,512.914654522085,2018
5083,725.550495800438,2018
5085,753.051678572906,2018
5087,644.167852940847,2018
5089,625.714574962088,2018
5091,455.164302953629,2018
5093,705.806266074406,2018
5095,733.475060138657,2018
5097,810.650917897109,2018
5099,639.733999640026,2018
5101,703.063013315921,2018
5103,683.997009708032,2018
5105,740.629687221045,2018
5107,810.427237599749,2018
5109,853.916067136959,2018
5111,645.649195754551,2018
5113,730.81048214739,2018
5115,733.52748771204,2018
5117,686.257623269091,2018
5119,715.306394359318,2018
5121,625.862979770613,2018
5123,696.086603871119,2018
5125,708.214547856984,2018
5127,758.281042209579,2018
5129,713.609138812642,2018
5131,763.832721551576,2018
5133,711.772412385033,2018
5135,627.65613455765,2018
5137,708.819083194001,2018
5139,561.970485051375,2018
5141,808.507076488129,2018
5143,668.764085187875,2018
5145,689.535868168739,2018
5147,615.979438280459,2018
5149,676.927671590368,2018
6001,124.624760538643,2018
6003,254.046881490199,2018
6005,275.39644435607,2018
6007,218.635312572995,2018
6009,267.704320626869,2018
6011,137.583419635119,2018
6013,136.624677656543,2018
6015,657.609310899995,2018
6017,409.838428895672,2018
6019,93.1046636751095,2018
6021,141.848677748462,2018
6023,404.922874778766,2018
6025,3.02040842548011,2018
6027,88.3151986196518,2018
6029,67.1058833648681,2018
6031,72.0355099897618,2018
6033,262.028017395064,2018
6035,260.077885574433,2018
