"year","stco","gddm60","gddm59","gddm58","gddm57","gddm56","gddm55","gddm54","gddm53","gddm52","gddm51","gddm50","gddm49","gddm48","gddm47","gddm46","gddm45","gddm44","gddm43","gddm42","gddm41","gddm40","gddm39","gddm38","gddm37","gddm36","gddm35","gddm34","gddm33","gddm32","gddm31","gddm30","gddm29","gddm28","gddm27","gddm26","gddm25","gddm24","gddm23","gddm22","gddm21","gddm20","gddm19","gddm18","gddm17","gddm16","gddm15","gddm14","gddm13","gddm12","gddm11","gddm10","gddm9","gddm8","gddm7","gddm6","gddm5","gddm4","gddm3","gddm2","gddm1","gdd0","gddp1","gddp2","gddp3","gddp4","gddp5","gddp6","gddp7","gddp8","gddp9","gddp10","gddp11","gddp12","gddp13","gddp14","gddp15","gddp16","gddp17","gddp18","gddp19","gddp20","gddp21","gddp22","gddp23","gddp24","gddp25","gddp26","gddp27","gddp28","gddp29","gddp30","gddp31","gddp32","gddp33","gddp34","gddp35","gddp36","gddp37","gddp38","gddp39","gddp40","gddp41","gddp42","gddp43","gddp44","gddp45","gddp46","gddp47","gddp48","gddp49","gddp50","gddp51","gddp52","gddp53","gddp54","gddp55","gddp56","gddp57","gddp58","gddp59","gddp60"
2018,46099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00556302376308522,0.0477625727753778,0.0859318740633623,0.123468906580328,0.271051779795577,0.439620372986848,0.514212392062507,0.737073906356073,1.11077651839289,1.44243765764489,1.82414277314121,2.02145835400982,2.77058926012394,4.01877654592528,3.78435241117541,3.87188535390119,5.24708909589353,5.98993205415545,4.43847908863376,3.15701078812891,2.74929511237714,2.10467936390126,2.20833847162693,2.31810029821953,2.48215577641969,2.81279203903,2.58842243247504,2.34428582721258,2.51786296502518,2.96362244025943,3.12980980764568,3.86913619355638,4.58339876299341,5.74553790734491,6.39937642339234,6.73330096606193,7.44993600771629,8.03333183970421,8.7253826700912,8.68931063111199,9.25005373142052,8.39427160941616,7.95986297461656,7.14057400892121,6.3058068158128,4.66536349003628,3.79685823439088,2.29176260661167,1.4773247351505,1.26526226580106,0.815278822788721,0.153924789411467,0.128499445789757,0.00546580415785514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,27133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00119169963908856,0.0552838588041377,0.0963542225293277,0.103069342099825,0.18782460144819,0.41367357405259,0.535627616462082,0.741524503306619,1.12159500101609,1.41306838721691,1.81369603728406,2.18182847053506,3.10102837376222,4.25326026192467,4.21931103698286,4.33516974577599,5.62012196256974,5.7159865015893,4.35523290969196,3.00053684304151,2.4363096789014,2.22642607790858,2.32910330426568,2.38885880603154,2.66088009202274,2.85222197254051,2.43521802127822,2.28669150944742,2.70433289794215,2.8162378050827,3.4470100542694,4.05043306221201,4.9161542814357,5.91984245382176,6.63470122635992,7.08827623159787,7.37346245131665,7.74234573364965,8.63370730101327,8.53561030087666,9.07127083446328,8.78501672559137,7.73988661739763,6.57848210362628,6.12536377410593,4.04528154372266,3.04099105492822,2.07873570847692,1.42763122667312,1.43511460825062,0.600316539563748,0.0863445853098294,0.142547801718155,0.0998086644661514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,27105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.03435719969932e-05,0.00730535610422493,0.0576364019438977,0.101318425093509,0.107139429964858,0.259309205974657,0.460168437655615,0.665911939680494,0.90700258063898,1.27375723195663,1.76932065955942,2.02860047938462,2.46382162442858,3.863334288882,4.6249051225116,3.96470215170503,5.50221242287333,5.86661754156507,4.69523215159558,3.61087300066736,2.99715231551336,2.31048318480926,2.27881127595318,2.46505133004245,2.34666263833092,2.24206520902923,1.96988695171316,1.98192492421925,2.26528039792239,2.63915289852548,2.74379883952206,3.21034203083639,3.5272593259677,4.73296271727962,5.48529560245173,6.65880494328478,6.82863962520839,7.09064428714831,7.72099926022925,8.52983877703328,8.84945826156345,9.08150024878244,8.58964245731467,8.21018712557964,7.36033947149916,6.12689233075807,3.91244143582631,2.97634877466595,2.47645348218062,1.49425210764876,1.65170192423588,0.476238217382121,0.232068790412996,0.154745926373444,0.15349411499884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,27063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.41940392087574e-05,0.0291501582132222,0.10277111598077,0.138556055633037,0.268749941982026,0.485986225747394,0.725566937591168,0.93298825362422,1.35140480017037,1.9196974332384,1.97406428752442,2.58619084746804,3.31581701239824,4.42942170768382,4.37235268072184,5.47025151827743,6.37052725750869,4.47755695966203,3.57294260319604,3.33973901788952,2.84137756035085,2.25783644208027,2.18794278097493,1.97045169922898,1.90945753537813,1.76611723622588,1.67946802422307,1.9979497710456,2.49844395926668,2.77611975527534,3.16978296419952,3.45173173448541,4.37893571590716,5.50173844703249,6.64649351853958,6.9281503252742,7.08975093963635,7.78710451200183,8.57844263576217,9.12513195117322,9.19370705369333,8.6009820274295,7.99679658489507,7.50401900750686,6.48948268676385,3.95765141516132,3.09590886862212,2.20995861022442,1.71108968364633,1.51573584316166,0.68031323695121,0.21763601233609,0.313873900341214,0.10329392704136,0.00335462561416205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,27091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00916156405920934,0.0736479231709588,0.134256761140169,0.225467029455247,0.411474873552885,0.627161507588044,0.939756569646261,1.39430433366629,1.79251557098756,2.10450938922565,2.50158290695263,2.93902721325314,3.77179469577157,4.49745500118107,5.00758487681335,6.23483818246582,4.95187003713192,3.71825058756916,3.32670872956902,3.45893843359539,2.6456925350017,1.9612895758121,1.62047845431811,1.71798654295185,1.745880326507,1.63220294465825,1.76583383882184,2.14759208422098,2.80090111113737,3.0628588607289,3.41518809598542,4.28213002668325,5.24428737531719,6.51276347169912,7.65858466173822,7.73315048009069,7.89691873289413,8.5478060576395,9.64145318568372,9.7360141510966,8.83613787006566,8.19999950337899,7.20371565729668,6.48777454404227,3.7562575186506,3.10290054050056,1.74407579794268,1.94189212741201,1.45244983116046,0.709033309917733,0.187129238272013,0.317766059523086,0.171549302055937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,27043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.53338718092595e-06,0.00440737376787948,0.0323346012239191,0.0901077904939732,0.143950084770742,0.280456779107175,0.487588855099538,0.651605008078921,0.947401248590503,1.41680548883743,1.78967928708839,2.21681831685119,2.54024942580428,2.84617387822505,3.41953253945437,4.18873809324603,4.98531884011441,5.32141086312816,4.84911952704407,4.2467622586591,3.15564587636751,2.99945476356018,2.88642132241897,2.77839498709175,2.01332529703878,1.57379143290203,1.51213429672321,1.43200806332889,1.5440289537519,2.03464093495883,2.8624892750848,3.01275573301047,3.37319477312914,4.3238628968173,5.57498170846176,6.49983394165428,7.56052370840102,8.35125108469128,8.11428383469758,8.72841423727746,9.76251767017787,9.65634894012207,8.91952005800834,8.21806550930916,6.85579582118022,6.16192290508929,4.09760183326183,3.10147720449674,1.73090433552394,1.66707725403417,1.29970003416487,0.981638599079222,0.266830845472821,0.29158968679973,0.188274691162884,0.0108286977773828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,27047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000867238325724703,0.0266878618990365,0.107586279447911,0.170850176153817,0.297989014714238,0.473174031342478,0.656029941449299,0.861971735737438,1.25357047213123,1.82950238555335,2.42428587593371,2.60652878934538,2.97573984066265,3.69098301148013,4.45029120083685,4.93161858644708,4.47860903255324,4.849857054358,4.29756555632349,3.54721627024798,2.88961681586197,2.97497171684534,2.60987655473213,2.05241244756896,1.56932253306844,1.24086578214695,1.5767678561062,1.64476657449218,2.2155269068018,3.02654442850984,3.39995337013594,3.78598077054156,4.54260645407393,5.74821902068689,7.17087469575272,7.71520703116145,8.51285307035249,8.7074409616843,9.3848771470497,9.27201592984611,9.26039908871528,9.12121898344952,8.25947041000587,6.64613430943264,4.99371063246131,3.77429190124653,2.72500164421942,1.95089283148136,1.09237382633923,1.2250934463965,0.545755596505258,0.333146861967826,0.10088604541732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,55123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.40488545411986e-05,0.00433119234598841,0.0254853761274167,0.101030024223535,0.175212497211496,0.361698710417539,0.499824498566616,0.580470729747689,0.693003572458567,0.94879029925737,1.43367643039224,2.28761019414418,3.28833581224568,3.65444391939249,3.63041142120135,4.19586367560645,4.10569681759329,3.78356282116695,3.78012455489132,4.31958722799932,3.71086472020036,3.23936427935719,2.89295215835183,3.09575107563512,2.7100569675832,1.52753150130305,1.77455832229071,2.34963850798489,3.21073414307793,3.50248302900417,3.89292058931226,4.12419055630843,5.1223675756878,6.47851778524445,8.10834029060704,8.63116033768674,8.2638694898588,8.18975732101941,8.02647940318261,8.71661159317451,8.58381160524521,8.71686213762491,8.42612420111761,6.96858365329116,5.57457362839501,4.22072163984855,2.3826074240243,1.35281698015226,1.31996076491128,0.765242782096412,0.236073037237087,0.0152486753416853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,55027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000561186108535387,0.0368669471101043,0.243369683830317,0.50109906545016,0.784018910454904,1.14040257188128,1.52805413492749,2.12935559504724,2.81642956374936,3.50900392389829,4.09345784353029,4.26572858530552,4.72759508219708,4.68049756733759,4.09153394502391,4.69286429159519,3.76095895116961,3.43220173354096,3.10566088911165,2.68896315759493,2.1881730340719,2.03588558152549,2.25479105733296,2.75819899277307,3.50485295364112,3.43846584153805,3.40744619747009,4.24246946730483,5.68930484136199,6.49608075182217,7.12710278456714,8.11944819768351,8.57755767002785,8.62940852049482,8.76423325518084,8.00190905816198,7.84435901844132,7.84696398392349,7.77242466091931,6.05566550340833,5.41505123455032,4.75431884725908,2.84663552549443,1.69064269863684,1.26979146972965,0.780226796049546,0.252328035047388,0.00764039271810208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,26121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0014002782779134,0.0164175100257152,0.0691052541428781,0.265456912797845,0.553488515760979,1.01794929748925,1.58892994551304,2.1535205136183,3.0050883512386,4.02406206088976,4.77124845413389,4.30703937076856,4.79738191106743,4.81234975122259,4.64214568460289,4.41896501065459,3.83688816372364,3.98679099186525,2.79902712296467,2.19102581532328,2.65396401776878,2.5874139293385,2.7245648210893,3.07683538340471,3.59140916874758,3.89616206761053,4.38628700666671,4.80191466892141,5.27929018415792,6.06402229150045,6.8857848122511,7.58117689606599,7.6170363864634,8.23640492146558,7.92644364486811,8.43934979164217,8.39552105316433,7.58828889877041,7.06715258559606,5.65846169330856,5.20487182236261,4.03943474101584,2.87170348586935,2.09949895371941,1.5717136605435,0.497012197606609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
